region,rajon,title,amount,period,month
РБ,Всего,Республика Беларусь,6551.6,0,Январь
Минск,Минск,Минск,9388,0,Январь
Минская,Всего,Минская область,6452.1,0,Январь
Минская,Жодино,Жодино,6739.7,0,Январь
Минская,Березинский,Березинский район,4822.1,0,Январь
Минская,Борисовский,Борисовский район,5435.2,0,Январь
Минская,Вилейский,Вилейский район,4992.9,0,Январь
Минская,Воложинский,Воложинский район,4974.8,0,Январь
Минская,Дзержинский,Дзержинский район,6772.7,0,Январь
Минская,Клецкий,Клецкий район,4985.4,0,Январь
Минская,Копыльский,Копыльский район,4609.8,0,Январь
Минская,Крупский,Крупский район,5219.1,0,Январь
Минская,Логойский,Логойский район,5916.9,0,Январь
Минская,Любанский,Любанский район,4681.3,0,Январь
Минская,Минский,Минский район,7952,0,Январь
Минская,Молодечненский,Молодечненский район,5627.6,0,Январь
Минская,Мядельский,Мядельский район,5143.1,0,Январь
Минская,Несвижский,Несвижский район,6119.6,0,Январь
Минская,Пуховичский,Пуховичский район,5661.1,0,Январь
Минская,Слуцкий,Слуцкий район,5375.9,0,Январь
Минская,Смолевичский,Смолевичский район,6316,0,Январь
Минская,Солигорский,Солигорский район,9882.3,0,Январь
Минская,Стародорожский,Стародорожский район,4935.7,0,Январь
Минская,Столбцовский,Столбцовский район,5507.5,0,Январь
Минская,Узденский,Узденский район,5300.2,0,Январь
Минская,Червенский,Червенский район,4980.3,0,Январь
Гродненская,Всего,Гродненская область,5587.9,0,Январь
Гродненская,Гродно,Гродно,6595.9,0,Январь
Гродненская,Берестовицкий,Берестовицкий район,5247.1,0,Январь
Гродненская,Волковысский,Волковысский район,5323.9,0,Январь
Гродненская,Вороновский,Вороновский район,4411.2,0,Январь
Гродненская,Гродненский,Гродненский район,5813.4,0,Январь
Гродненская,Дятловский,Дятловский район,4478.6,0,Январь
Гродненская,Зельвенский,Зельвенский район,4615.9,0,Январь
Гродненская,Ивьевский,Ивьевский район,4392.3,0,Январь
Гродненская,Кореличский,Кореличский район,4680.7,0,Январь
Гродненская,Лидский,Лидский район,5152.3,0,Январь
Гродненская,Мостовский,Мостовский район,4401.1,0,Январь
Гродненская,Новогрудский,Новогрудский район,4812.9,0,Январь
Гродненская,Островецкий,Островецкий район,5679.6,0,Январь
Гродненская,Ошмянский,Ошмянский район,4948.5,0,Январь
Гродненская,Свислочский,Свислочский район,4577.3,0,Январь
Гродненская,Слонимский,Слонимский район,5020.6,0,Январь
Гродненская,Сморгонский,Сморгонский район,5274.4,0,Январь
Гродненская,Щучинский,Щучинский район,4907.7,0,Январь
Могилевская,Всего,Могилевская область,5555.3,0,Январь
Могилевская,Могилев,Могилев,6177.4,0,Январь
Могилевская,Бобруйск,Бобруйск,5541.5,0,Январь
Могилевская,Белыничский,Белыничский район,5344.6,0,Январь
Могилевская,Бобруйский,Бобруйский район,4303.7,0,Январь
Могилевская,Быховский,Быховский район,4865.2,0,Январь
Могилевская,Глусский,Глусский район,4580.5,0,Январь
Могилевская,Горецкий,Горецкий район,4893.3,0,Январь
Могилевская,Дрибинский,Дрибинский район,4861.2,0,Январь
Могилевская,Кировский,Кировский район,4566,0,Январь
Могилевская,Климовичский,Климовичский район,4845,0,Январь
Могилевская,Кличевский,Кличевский район,4922.8,0,Январь
Могилевская,Костюковичский,Костюковичский район,5274.3,0,Январь
Могилевская,Краснопольский,Краснопольский район,4871.2,0,Январь
Могилевская,Кричевский,Кричевский район,5090,0,Январь
Могилевская,Круглянский,Круглянский район,5007.7,0,Январь
Могилевская,Могилевский,Могилевский район,5719.6,0,Январь
Могилевская,Мстиславский,Мстиславский район,4339.7,0,Январь
Могилевская,Осиповичский,Осиповичский район,5633.2,0,Январь
Могилевская,Славгородский,Славгородский район,4664.8,0,Январь
Могилевская,Хотимский,Хотимский район,4304.9,0,Январь
Могилевская,Чаусский,Чаусский район,4647.2,0,Январь
Могилевская,Чериковский,Чериковский район,5069.3,0,Январь
Могилевская,Шкловский,Шкловский район,5406.9,0,Январь
Гомельская,Всего,Гомельская область,5850.7,0,Январь
Гомельская,Гомель,Гомель,6334,0,Январь
Гомельская,Брагинский,Брагинский район,4490.5,0,Январь
Гомельская,Буда-Кошелевский,Буда-Кошелевский район,4877.4,0,Январь
Гомельская,Ветковский,Ветковский район,4705.1,0,Январь
Гомельская,Гомельский,Гомельский район,5534.7,0,Январь
Гомельская,Добрушский,Добрушский район,4591.8,0,Январь
Гомельская,Ельский,Ельский район,4527.5,0,Январь
Гомельская,Житковичский,Житковичский район,4779.9,0,Январь
Гомельская,Жлобинский,Жлобинский район,5881.9,0,Январь
Гомельская,Калинковичский,Калинковичский район,5387.6,0,Январь
Гомельская,Кормянский,Кормянский район,4302.2,0,Январь
Гомельская,Лельчицкий,Лельчицкий район,4527.8,0,Январь
Гомельская,Лоевский,Лоевский район,4228.6,0,Январь
Гомельская,Мозырский,Мозырский район,6716,0,Январь
Гомельская,Наровлянский,Наровлянский район,4750.1,0,Январь
Гомельская,Октябрьский,Октябрьский район,4431.9,0,Январь
Гомельская,Петриковский,Петриковский район,4455.2,0,Январь
Гомельская,Речицкий,Речицкий район,6387,0,Январь
Гомельская,Рогачевский,Рогачевский район,4970.2,0,Январь
Гомельская,Светлогорский,Светлогорский район,5871,0,Январь
Гомельская,Хойникский,Хойникский район,4548.3,0,Январь
Гомельская,Чечерский,Чечерский район,4891.3,0,Январь
Брестская,Всего,Брестская область,5537.8,0,Январь
Брестская,Брест,Брест,6351.6,0,Январь
Брестская,Барановичи,Барановичи,5709.5,0,Январь
Брестская,Пинск,Пинск,5203.4,0,Январь
Брестская,Барановичский,Барановичский район,5242.4,0,Январь
Брестская,Березовский,Березовский район,5643.2,0,Январь
Брестская,Брестский,Брестский район,5557.9,0,Январь
Брестская,Ганцевичский,Ганцевичский район,4623.4,0,Январь
Брестская,Дрогичинский,Дрогичинский район,4529.6,0,Январь
Брестская,Жабинковский,Жабинковский район,5354,0,Январь
Брестская,Ивановский,Ивановский район,4759.3,0,Январь
Брестская,Ивацевичский,Ивацевичский район,5090.8,0,Январь
Брестская,Каменецкий,Каменецкий район,5501.1,0,Январь
Брестская,Кобринский,Кобринский район,5463,0,Январь
Брестская,Лунинецкий,Лунинецкий район,5050.4,0,Январь
Брестская,Ляховичский,Ляховичский район,4743.4,0,Январь
Брестская,Малоритский,Малоритский район,4602.8,0,Январь
Брестская,Пинский,Пинский район,4731.9,0,Январь
Брестская,Пружанский,Пружанский район,5384.9,0,Январь
Брестская,Столинский,Столинский район,4565.1,0,Январь
Витебская,Всего,Витебская область,5607.1,0,Январь
Витебская,Витебск,Витебск,6116.5,0,Январь
Витебская,Новополоцк,Новополоцк,7876.4,0,Январь
Витебская,Бешенковичский,Бешенковичский район,4317.5,0,Январь
Витебская,Браславский,Браславский район,4194.3,0,Январь
Витебская,Верхнедвинский,Верхнедвинский район,5322.1,0,Январь
Витебская,Витебский,Витебский район,5143.7,0,Январь
Витебская,Глубокский,Глубокский район,4824.6,0,Январь
Витебская,Городокский,Городокский район,4559.6,0,Январь
Витебская,Докшицкий,Докшицкий район,4484.2,0,Январь
Витебская,Дубровенский,Дубровенский район,4917.9,0,Январь
Витебская,Лепельский,Лепельский район,4836.5,0,Январь
Витебская,Лиозненский,Лиозненский район,4299.5,0,Январь
Витебская,Миорский,Миорский район,4121.2,0,Январь
Витебская,Оршанский,Оршанский район,5423.6,0,Январь
Витебская,Полоцкий,Полоцкий район,5736.8,0,Январь
Витебская,Поставский,Поставский район,4470,0,Январь
Витебская,Россонский,Россонский район,4669.2,0,Январь
Витебская,Сенненский,Сенненский район,4240.4,0,Январь
Витебская,Толочинский,Толочинский район,4887.3,0,Январь
Витебская,Ушачский,Ушачский район,4204.1,0,Январь
Витебская,Чашникский,Чашникский район,5106.2,0,Январь
Витебская,Шарковщинский,Шарковщинский район,3920.7,0,Январь
Витебская,Шумилинский,Шумилинский район,4224.9,0,Январь
РБ,Всего,Республика Беларусь,6615.7,1,Февраль
Минск,Минск,Минск,9475,1,Февраль
Могилевская,Всего,Могилевская область,5593.8,1,Февраль
Могилевская,Могилев,Могилев,6206.4,1,Февраль
Могилевская,Бобруйск,Бобруйск,5762.7,1,Февраль
Могилевская,Белыничский,Белыничский район,5399.5,1,Февраль
Могилевская,Бобруйский,Бобруйский район,4342.6,1,Февраль
Могилевская,Быховский,Быховский район,4839.3,1,Февраль
Могилевская,Глусский,Глусский район,4556.8,1,Февраль
Могилевская,Горецкий,Горецкий район,4833.8,1,Февраль
Могилевская,Дрибинский,Дрибинский район,4955.2,1,Февраль
Могилевская,Кировский,Кировский район,4453.9,1,Февраль
Могилевская,Климовичский,Климовичский район,4903,1,Февраль
Могилевская,Кличевский,Кличевский район,4878.9,1,Февраль
Могилевская,Костюковичский,Костюковичский район,5564.1,1,Февраль
Могилевская,Краснопольский,Краснопольский район,4670.9,1,Февраль
Могилевская,Кричевский,Кричевский район,5268.5,1,Февраль
Могилевская,Круглянский,Круглянский район,5247.1,1,Февраль
Могилевская,Могилевский,Могилевский район,5605.1,1,Февраль
Могилевская,Мстиславский,Мстиславский район,4385.5,1,Февраль
Могилевская,Осиповичский,Осиповичский район,5588.2,1,Февраль
Могилевская,Славгородский,Славгородский район,4458.7,1,Февраль
Могилевская,Хотимский,Хотимский район,4259.4,1,Февраль
Могилевская,Чаусский,Чаусский район,4566.2,1,Февраль
Могилевская,Чериковский,Чериковский район,4690,1,Февраль
Могилевская,Шкловский,Шкловский район,5342.5,1,Февраль
Витебская,Всего,Витебская область,5639.5,1,Февраль
Витебская,Витебск,Витебск,6202.1,1,Февраль
Витебская,Новополоцк,Новополоцк,7532.2,1,Февраль
Витебская,Бешенковичский,Бешенковичский район,4315,1,Февраль
Витебская,Браславский,Браславский район,4287.1,1,Февраль
Витебская,Верхнедвинский,Верхнедвинский район,4964.3,1,Февраль
Витебская,Витебский,Витебский район,5341.3,1,Февраль
Витебская,Глубокский,Глубокский район,4795.4,1,Февраль
Витебская,Городокский,Городокский район,4566,1,Февраль
Витебская,Докшицкий,Докшицкий район,4631,1,Февраль
Витебская,Дубровенский,Дубровенский район,4872.9,1,Февраль
Витебская,Лепельский,Лепельский район,4808.3,1,Февраль
Витебская,Лиозненский,Лиозненский район,4335.3,1,Февраль
Витебская,Миорский,Миорский район,4327.1,1,Февраль
Витебская,Оршанский,Оршанский район,5546.9,1,Февраль
Витебская,Полоцкий,Полоцкий район,5831.3,1,Февраль
Витебская,Поставский,Поставский район,4508.7,1,Февраль
Витебская,Россонский,Россонский район,4744.7,1,Февраль
Витебская,Сенненский,Сенненский район,4394.7,1,Февраль
Витебская,Толочинский,Толочинский район,4849.1,1,Февраль
Витебская,Ушачский,Ушачский район,4158.8,1,Февраль
Витебская,Чашникский,Чашникский район,5219.7,1,Февраль
Витебская,Шарковщинский,Шарковщинский район,3999.9,1,Февраль
Витебская,Шумилинский,Шумилинский район,4295.1,1,Февраль
Брестская,Всего,Брестская область,5652.4,1,Февраль
Брестская,Брест,Брест,6541.3,1,Февраль
Брестская,Барановичи,Барановичи,5819.9,1,Февраль
Брестская,Пинск,Пинск,5351.1,1,Февраль
Брестская,Барановичский,Барановичский район,5249.1,1,Февраль
Брестская,Березовский,Березовский район,5788.2,1,Февраль
Брестская,Брестский,Брестский район,5457.3,1,Февраль
Брестская,Ганцевичский,Ганцевичский район,4650.4,1,Февраль
Брестская,Дрогичинский,Дрогичинский район,4742.5,1,Февраль
Брестская,Жабинковский,Жабинковский район,5563.5,1,Февраль
Брестская,Ивановский,Ивановский район,4959.6,1,Февраль
Брестская,Ивацевичский,Ивацевичский район,5199.9,1,Февраль
Брестская,Каменецкий,Каменецкий район,5304.7,1,Февраль
Брестская,Кобринский,Кобринский район,5472.1,1,Февраль
Брестская,Лунинецкий,Лунинецкий район,5352,1,Февраль
Брестская,Ляховичский,Ляховичский район,4971.3,1,Февраль
Брестская,Малоритский,Малоритский район,4680.5,1,Февраль
Брестская,Пинский,Пинский район,4824.9,1,Февраль
Брестская,Пружанский,Пружанский район,5406.3,1,Февраль
Брестская,Столинский,Столинский район,4396,1,Февраль
Гродненская,Всего,Гродненская область,5639,1,Февраль
Гродненская,Гродно,Гродно,6636.2,1,Февраль
Гродненская,Берестовицкий,Берестовицкий район,5128,1,Февраль
Гродненская,Волковысский,Волковысский район,5326.6,1,Февраль
Гродненская,Вороновский,Вороновский район,4467.7,1,Февраль
Гродненская,Гродненский,Гродненский район,5889.1,1,Февраль
Гродненская,Дятловский,Дятловский район,4604.2,1,Февраль
Гродненская,Зельвенский,Зельвенский район,4525,1,Февраль
Гродненская,Ивьевский,Ивьевский район,4517.1,1,Февраль
Гродненская,Кореличский,Кореличский район,4474.3,1,Февраль
Гродненская,Лидский,Лидский район,5367.2,1,Февраль
Гродненская,Мостовский,Мостовский район,4412.3,1,Февраль
Гродненская,Новогрудский,Новогрудский район,4836.4,1,Февраль
Гродненская,Островецкий,Островецкий район,5771,1,Февраль
Гродненская,Ошмянский,Ошмянский район,5078.5,1,Февраль
Гродненская,Свислочский,Свислочский район,4489.4,1,Февраль
Гродненская,Слонимский,Слонимский район,4924.9,1,Февраль
Гродненская,Сморгонский,Сморгонский район,5351.9,1,Февраль
Гродненская,Щучинский,Щучинский район,5023.6,1,Февраль
Минская,Всего,Минская область,6517.3,1,Февраль
Минская,Жодино,Жодино,6832.9,1,Февраль
Минская,Березинский,Березинский район,4916.7,1,Февраль
Минская,Борисовский,Борисовский район,5629.8,1,Февраль
Минская,Вилейский,Вилейский район,5077.3,1,Февраль
Минская,Воложинский,Воложинский район,4895.3,1,Февраль
Минская,Дзержинский,Дзержинский район,7226.5,1,Февраль
Минская,Клецкий,Клецкий район,5011,1,Февраль
Минская,Копыльский,Копыльский район,4577.8,1,Февраль
Минская,Крупский,Крупский район,5005.3,1,Февраль
Минская,Логойский,Логойский район,6001.1,1,Февраль
Минская,Любанский,Любанский район,4729.4,1,Февраль
Минская,Минский,Минский район,8048.1,1,Февраль
Минская,Молодечненский,Молодечненский район,5722,1,Февраль
Минская,Мядельский,Мядельский район,5238.9,1,Февраль
Минская,Несвижский,Несвижский район,6132.7,1,Февраль
Минская,Пуховичский,Пуховичский район,5679,1,Февраль
Минская,Слуцкий,Слуцкий район,5496.2,1,Февраль
Минская,Смолевичский,Смолевичский район,6477.2,1,Февраль
Минская,Солигорский,Солигорский район,9634,1,Февраль
Минская,Стародорожский,Стародорожский район,4946.3,1,Февраль
Минская,Столбцовский,Столбцовский район,5537.2,1,Февраль
Минская,Узденский,Узденский район,5287.6,1,Февраль
Минская,Червенский,Червенский район,4942.4,1,Февраль
Гомельская,Всего,Гомельская область,5901.3,1,Февраль
Гомельская,Гомель,Гомель,6476,1,Февраль
Гомельская,Брагинский,Брагинский район,4490.1,1,Февраль
Гомельская,Буда-Кошелевский,Буда-Кошелевский район,4826.7,1,Февраль
Гомельская,Ветковский,Ветковский район,4782.9,1,Февраль
Гомельская,Гомельский,Гомельский район,5664.3,1,Февраль
Гомельская,Добрушский,Добрушский район,4679.4,1,Февраль
Гомельская,Ельский,Ельский район,4675.3,1,Февраль
Гомельская,Житковичский,Житковичский район,4784.2,1,Февраль
Гомельская,Жлобинский,Жлобинский район,5878,1,Февраль
Гомельская,Калинковичский,Калинковичский район,5390.7,1,Февраль
Гомельская,Кормянский,Кормянский район,4456.5,1,Февраль
Гомельская,Лельчицкий,Лельчицкий район,4485.1,1,Февраль
Гомельская,Лоевский,Лоевский район,4236.3,1,Февраль
Гомельская,Мозырский,Мозырский район,6467.4,1,Февраль
Гомельская,Наровлянский,Наровлянский район,4975.9,1,Февраль
Гомельская,Октябрьский,Октябрьский район,4446.4,1,Февраль
Гомельская,Петриковский,Петриковский район,4377.5,1,Февраль
Гомельская,Речицкий,Речицкий район,6557.1,1,Февраль
Гомельская,Рогачевский,Рогачевский район,4932.6,1,Февраль
Гомельская,Светлогорский,Светлогорский район,5944.4,1,Февраль
Гомельская,Хойникский,Хойникский район,4496.8,1,Февраль
Гомельская,Чечерский,Чечерский район,4608.1,1,Февраль
РБ,Всего,Республика Беларусь,7094.5,2,Март
Минск,Минск,Минск,10509.8,2,Март
Минская,Всего,Минская область,6850.1,2,Март
Минская,Жодино,Жодино,6886.1,2,Март
Минская,Березинский,Березинский район,5150.9,2,Март
Минская,Борисовский,Борисовский район,5887.6,2,Март
Минская,Вилейский,Вилейский район,5404.2,2,Март
Минская,Воложинский,Воложинский район,5123.2,2,Март
Минская,Дзержинский,Дзержинский район,7356.2,2,Март
Минская,Клецкий,Клецкий район,5176,2,Март
Минская,Копыльский,Копыльский район,4823.1,2,Март
Минская,Крупский,Крупский район,5205.3,2,Март
Минская,Логойский,Логойский район,6246.4,2,Март
Минская,Любанский,Любанский район,4910.4,2,Март
Минская,Минский,Минский район,8347.1,2,Март
Минская,Молодечненский,Молодечненский район,6029.5,2,Март
Минская,Мядельский,Мядельский район,5571.7,2,Март
Минская,Несвижский,Несвижский район,6327.5,2,Март
Минская,Пуховичский,Пуховичский район,6176.4,2,Март
Минская,Слуцкий,Слуцкий район,5595.6,2,Март
Минская,Смолевичский,Смолевичский район,6896.1,2,Март
Минская,Солигорский,Солигорский район,10405.6,2,Март
Минская,Стародорожский,Стародорожский район,5238.5,2,Март
Минская,Столбцовский,Столбцовский район,5938.2,2,Март
Минская,Узденский,Узденский район,5761.6,2,Март
Минская,Червенский,Червенский район,5337.3,2,Март
Брестская,Всего,Брестская область,5995.2,2,Март
Брестская,Брест,Брест,7008.2,2,Март
Брестская,Барановичи,Барановичи,6128.1,2,Март
Брестская,Пинск,Пинск,5647,2,Март
Брестская,Барановичский,Барановичский район,5678.3,2,Март
Брестская,Березовский,Березовский район,6197.4,2,Март
Брестская,Брестский,Брестский район,5693.8,2,Март
Брестская,Ганцевичский,Ганцевичский район,4816.4,2,Март
Брестская,Дрогичинский,Дрогичинский район,4961.7,2,Март
Брестская,Жабинковский,Жабинковский район,5869.6,2,Март
Брестская,Ивановский,Ивановский район,5322.4,2,Март
Брестская,Ивацевичский,Ивацевичский район,5467,2,Март
Брестская,Каменецкий,Каменецкий район,5609.1,2,Март
Брестская,Кобринский,Кобринский район,5684.7,2,Март
Брестская,Лунинецкий,Лунинецкий район,5659.7,2,Март
Брестская,Ляховичский,Ляховичский район,5307,2,Март
Брестская,Малоритский,Малоритский район,4940.1,2,Март
Брестская,Пинский,Пинский район,4959.9,2,Март
Брестская,Пружанский,Пружанский район,5803.2,2,Март
Брестская,Столинский,Столинский район,4615.9,2,Март
Витебская,Всего,Витебская область,5961.1,2,Март
Витебская,Витебск,Витебск,6580.2,2,Март
Витебская,Новополоцк,Новополоцк,7962,2,Март
Витебская,Бешенковичский,Бешенковичский район,4625.3,2,Март
Витебская,Браславский,Браславский район,4496.8,2,Март
Витебская,Верхнедвинский,Верхнедвинский район,5340.1,2,Март
Витебская,Витебский,Витебский район,5522.3,2,Март
Витебская,Глубокский,Глубокский район,5015.2,2,Март
Витебская,Городокский,Городокский район,4758.4,2,Март
Витебская,Докшицкий,Докшицкий район,4953.5,2,Март
Витебская,Дубровенский,Дубровенский район,5135.4,2,Март
Витебская,Лепельский,Лепельский район,5179.8,2,Март
Витебская,Лиозненский,Лиозненский район,4540,2,Март
Витебская,Миорский,Миорский район,4628.9,2,Март
Витебская,Оршанский,Оршанский район,5784.1,2,Март
Витебская,Полоцкий,Полоцкий район,6106.7,2,Март
Витебская,Поставский,Поставский район,4885.7,2,Март
